time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.949030,50,0.441240,0.165995,0.199745,0.540766,0.258702,0.068568,0.061779,0.113270,0.159429,0.642476,0.167725,0.289162,stopped
11.247089,84,0.135101,0.119777,0.277504,0.124855,0.560675,0.069976,0.026847,0.081631,0.210242,0.243775,0.202053,0.476409,running
12.197827,81,0.007385,0.028526,0.013674,0.007444,0.313650,0.003462,0.001389,0.004006,0.019225,0.962993,0.010447,0.023495,running
13.047880,81,0.002801,0.017505,0.002940,0.007780,0.219647,0.019358,0.124765,0.004945,0.040311,0.889356,0.012175,0.007353,running
14.947826,78,0.000751,0.107169,0.000022,0.000140,0.000928,0.035249,0.997904,0.000693,0.000171,0.004584,0.059895,0.000065,running
15.897533,78,0.045769,0.073936,0.054312,0.028882,0.169980,0.111981,0.458464,0.027709,0.044293,0.358161,0.303005,0.055966,running
16.698179,81,0.089742,0.115471,0.143207,0.174906,0.261578,0.196340,0.387536,0.064776,0.085061,0.624077,0.185670,0.079213,running
17.497004,69,0.201379,0.209438,0.299914,0.266903,0.222741,0.148587,0.250613,0.131459,0.171542,0.815784,0.149522,0.117636,running
18.948069,81,0.112071,0.092845,0.125902,0.147925,0.225437,0.395442,0.648788,0.108224,0.106779,0.261455,0.439378,0.119572,running
22.747429,71,0.687220,0.500714,0.368655,0.319041,0.235678,0.184419,0.128790,0.121898,0.257542,0.227934,0.136029,0.612073,running
24.947172,68,0.359630,0.021018,0.021436,0.998118,0.010436,0.004777,0.010886,0.014349,0.560014,0.005628,0.062983,0.016125,running
25.846991,72,0.895690,0.005745,0.034928,0.065397,0.014561,0.003878,0.021130,0.622879,0.034658,0.039210,0.060400,0.036725,running
27.747046,75,0.314142,0.237839,0.467582,0.661851,0.408043,0.211638,0.258786,0.252983,0.265093,0.359035,0.240221,0.746554,running
28.647375,75,0.114765,0.052724,0.125160,0.781762,0.254466,0.102998,0.029340,0.083801,0.168541,0.035404,0.096363,0.101594,running
29.897665,64,0.041234,0.073265,0.077727,0.057386,0.983026,0.028214,0.012178,0.015269,0.119720,0.009830,0.014679,0.080296,running
