time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.647366,46,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.647868,59,0.249962,0.062491,0.000000,0.062491,1.624756,1.624756,0.249962,0.000000,0.062491,1.687246,0.000000,1.624756
1.697754,41,0.250011,0.056246,0.000000,0.131246,1.625072,1.625072,0.524985,0.000000,0.062503,1.524905,0.000000,2.840180
1.748056,51,0.249993,0.050622,0.000000,2.166667,1.624952,1.624952,0.287037,0.083333,0.062498,1.378660,0.333333,2.532168
1.796993,51,0.224997,0.000000,0.000000,2.924846,1.625014,1.462481,0.239815,0.139583,0.062501,1.015731,0.558333,2.026184
1.847473,40,0.202497,0.000000,2.166667,3.454218,1.624990,1.214984,0.340649,0.138374,0.062500,1.130442,0.553498,2.075301
1.947950,54,0.075000,0.300000,1.547068,2.274692,1.462496,0.885723,1.527778,0.059954,1.584028,0.839425,0.314815,1.711993
1.998124,54,0.064583,2.425000,1.555641,2.162365,1.184622,0.800769,1.547068,0.061281,1.751235,0.710499,0.309706,1.676469
2.049092,60,0.116204,2.105556,1.593298,1.701086,0.959544,0.652882,1.555641,0.000000,1.722771,0.626377,0.258503,1.357940
2.198328,60,3.094136,1.844743,1.629175,1.004474,1.612622,0.404428,1.634393,0.516667,1.381349,0.475769,0.180103,0.970918
2.298167,66,3.075470,1.821912,1.313996,0.732262,1.723522,0.301438,2.671228,0.473149,1.050957,0.366271,0.207605,0.777858
2.347958,68,2.855923,1.639721,1.091627,0.771536,1.595291,0.225139,2.273348,0.439373,1.005676,0.280408,0.141457,0.714331
2.397994,68,2.554847,1.132097,0.795796,0.656687,1.633803,0.164126,2.201672,0.393053,0.760866,0.204418,0.120395,1.629132
2.447154,50,2.554847,1.132097,0.795796,0.656687,1.633803,0.164126,2.201672,0.393053,0.760866,0.204418,0.120395,1.629132
2.547297,54,1.563763,0.763875,2.045269,0.397439,1.062312,0.064610,2.113209,0.247011,0.382285,0.344779,0.071759,1.458433
2.647610,73,1.206187,1.914017,1.653828,0.529791,0.860473,0.127334,1.731996,0.200079,1.991296,0.279271,0.066615,1.181330
2.698169,73,0.843009,2.013564,1.205641,1.722449,0.579032,0.066615,1.505298,0.171482,2.117662,0.157342,0.357896,0.861190
2.797117,73,0.627272,2.085598,0.878912,1.900903,0.422114,0.061281,2.161098,0.136951,1.925321,0.114703,0.338220,0.627807
2.797117,73,0.627272,2.085598,0.878912,1.900903,0.422114,0.061281,2.161098,0.136951,1.925321,0.114703,0.338220,0.627807
2.897394,70,0.433606,1.776569,1.710545,1.295687,0.276949,0.356575,1.476058,0.000000,1.902054,0.258333,1.702603,0.365746
2.997022,70,0.321467,1.295119,1.803669,1.837687,0.201896,0.266461,1.093294,0.068111,1.319632,0.257316,2.004440,0.266629
3.147521,64,0.088288,0.806785,2.062748,1.176071,1.635377,0.174825,0.688071,0.000000,0.930394,0.437028,1.312813,0.433269
3.349320,101,0.318594,0.450099,1.385162,0.694458,1.964742,1.835228,0.368163,0.000000,0.535238,1.773590,0.775203,0.322117
3.498286,101,0.253252,0.147181,0.874190,1.951097,1.882426,1.713866,0.241552,0.064583,0.372291,1.646135,0.597617,0.250642
3.498286,101,0.253252,0.147181,0.874190,1.951097,1.882426,1.713866,0.241552,0.064583,0.372291,1.646135,0.597617,0.250642
3.597340,38,0.180670,0.117686,1.547068,1.527708,1.069363,1.174353,0.223066,0.000000,0.203148,1.762187,0.371418,0.181938
3.648988,37,1.674120,1.527778,1.558796,0.922759,0.913449,1.026226,0.144693,0.300000,0.409700,1.741528,0.300849,0.147370
3.697110,64,1.665605,1.547068,1.165500,0.747435,1.784118,0.835077,0.068639,0.258333,0.418835,1.625825,0.243687,0.286578
3.747489,64,1.838680,1.731996,1.048950,0.672691,2.072574,0.760059,0.061775,0.266461,0.416535,1.624450,0.219319,0.280409
3.797369,64,1.671070,1.593298,0.764685,0.409465,1.856807,0.527915,1.527778,0.245123,0.366185,1.462280,0.158618,0.251052
3.848221,99,1.716130,1.646135,0.688216,2.535185,1.822909,0.483284,1.865741,0.336585,0.368045,1.316052,0.480349,0.249298
3.947838,99,1.251059,1.618738,0.501710,1.766516,1.726342,0.368418,1.558796,0.249204,0.305216,1.543673,0.373149,0.224719
3.997712,99,1.539211,1.626855,0.365746,1.832531,1.323758,0.285761,1.136362,0.339634,0.250285,1.683015,0.257316,0.163820
4.047044,99,1.539211,1.626855,0.365746,1.832531,1.323758,0.285761,1.136362,0.339634,0.250285,1.683015,0.257316,0.163820
4.147236,72,3.124224,1.625367,0.239966,1.554780,1.657326,0.160137,1.532391,0.556735,0.325056,1.447029,0.295558,0.300000
4.297865,72,3.277435,1.624952,0.094465,1.179020,1.735867,0.120144,1.796397,0.504221,1.547068,1.561262,0.195794,1.804384
4.397946,36,3.977551,1.316276,0.068865,0.856254,1.340757,0.050626,1.451762,0.689614,1.402917,1.643885,0.096015,1.871103
4.448221,36,3.442903,1.066184,0.055781,0.996612,0.709899,0.000000,1.188111,0.592601,2.514140,1.451169,0.077772,1.594793
4.547514,87,2.840974,0.777248,0.000000,2.259649,0.530251,0.000000,0.866133,0.554703,2.172279,1.057902,0.287037,1.162604
4.647239,93,2.199563,2.286185,0.000000,1.842800,0.680194,0.071759,0.631411,0.352022,1.821618,2.636951,0.239815,0.847538
4.747442,93,2.090950,1.869787,0.000000,1.855474,0.554867,0.059954,0.460299,0.389992,1.358524,2.074607,0.253252,0.575121
4.897205,49,1.391624,1.777685,0.000000,2.910867,0.351102,0.061958,0.504259,0.175788,1.796893,1.559785,0.439003,1.547068
4.998328,49,1.014512,1.750754,0.000000,2.461433,0.255953,0.062661,0.395113,0.053958,1.917055,1.137083,0.347542,1.402917
8.950570,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.950570,58,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.047250,39,0.258333,0.000000,0.060750,1.865741,0.000000,1.790068,0.000000,0.071759,0.000000,0.064583,1.237500,0.000000
9.147543,73,0.257316,0.182250,0.000000,1.555641,0.000000,1.672554,0.000000,0.059954,0.091125,0.064329,0.547843,0.000000
9.197375,73,0.245123,2.166667,0.083333,1.672554,0.000000,1.887403,0.000000,0.064329,0.333333,0.061281,2.337032,0.000000
9.247424,73,0.178694,1.547068,0.064583,2.895336,1.527778,1.395083,0.000000,0.131982,0.333333,0.000000,1.945828,0.300000
9.347111,81,0.130268,1.744313,0.053958,2.728946,2.019033,1.061772,0.000000,0.066615,0.323931,1.865741,1.727619,0.266461
9.399055,81,0.130268,1.744313,0.053958,2.728946,2.019033,1.061772,0.000000,0.066615,0.323931,1.865741,1.727619,0.266461
9.549976,104,0.069230,1.209957,0.000000,1.952131,1.887645,0.530082,0.266461,0.000000,1.646921,3.378131,0.945344,1.983441
9.647790,71,0.050469,2.014667,0.000000,2.502976,1.511922,0.458189,0.245123,0.071759,1.632467,2.564907,0.853120,1.795017
9.697447,61,0.000000,1.618966,0.083333,2.128740,2.014885,0.670447,0.253252,0.064583,1.494380,3.043705,2.391975,1.928322
9.851830,61,0.064583,1.707397,0.059954,1.088801,1.704133,0.464054,0.407876,0.000000,2.488536,2.286266,1.555641,2.560918
9.851830,61,0.064583,1.707397,0.059954,1.088801,1.704133,0.464054,0.407876,0.000000,2.488536,2.286266,1.555641,2.560918
9.997778,79,0.063313,1.056918,0.349898,2.052978,1.731246,0.314795,0.341555,1.932356,2.052520,1.458211,1.634393,2.377742
10.199067,80,0.066615,2.174857,0.245123,1.449720,1.619304,0.230008,0.214745,1.593298,2.815661,0.811992,1.062054,1.598875
10.247750,80,0.064329,1.723179,0.227926,1.215756,1.465917,0.196677,0.131708,1.481521,2.456703,0.657714,0.860264,1.157227
10.397087,88,0.062861,1.634393,0.213636,0.838468,2.508856,0.319235,0.086414,0.897255,2.296077,0.391989,1.547975,0.980205
10.498601,61,0.122189,3.076059,0.173238,0.853701,2.104060,0.379075,0.062996,0.654099,3.289078,0.285760,1.669758,0.701675
10.598813,34,0.052312,3.283595,0.428500,0.622348,1.494542,0.300272,0.000000,2.342579,2.195598,0.166295,1.611738,0.583281
10.748205,88,0.000000,2.494729,0.240467,1.643550,1.860619,0.183242,0.000000,1.428628,1.377587,0.072738,1.191070,0.482085
10.848264,88,0.000000,1.689770,0.275407,1.473252,1.885918,0.133583,0.000000,2.018218,1.033574,0.053026,0.868290,0.412136
