time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
0.299114,45,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.048648,34,0.000000,0.124905,0.062452,1.623763,1.748668,0.249810,0.000000,0.062452,0.062452,2.623002,1.623763,0.249810
2.748874,34,0.000000,0.125000,0.125000,0.000000,1.750000,0.500000,0.000000,0.000000,0.062500,2.625000,2.625000,0.250000
2.999316,51,0.000000,0.000000,1.555641,1.555641,1.033357,0.295245,0.059954,0.059954,0.000000,1.789851,1.789851,0.147622
3.199789,47,0.000000,0.066615,1.097363,1.097363,0.876648,0.174339,0.266461,0.000000,0.000000,2.464947,1.040521,1.731996
3.398925,41,0.266461,0.000000,0.598137,0.598137,1.961999,1.731996,0.423803,0.000000,0.066615,1.432180,0.614417,2.086241
3.649203,41,0.247832,0.066615,0.353194,1.731996,1.141974,1.610910,0.250252,0.066615,0.000000,1.968119,0.570403,1.183533
3.949016,45,0.147054,0.059954,0.172575,1.618738,0.749943,0.955848,0.075256,0.062259,0.000000,2.221561,1.742920,0.566080
4.149739,41,0.265493,0.000000,0.122111,1.064336,0.401025,1.725706,0.000000,0.000000,0.000000,1.368356,1.657964,0.253606
4.598916,37,0.110581,1.646135,0.000000,0.342564,0.111673,0.726799,0.000000,0.000000,0.253252,0.449078,0.701689,0.055597
5.048850,41,0.247832,1.625367,0.000000,0.079630,0.000000,1.610910,0.000000,0.000000,0.250056,0.140168,0.224756,0.000000
5.398587,35,0.132348,0.863678,0.000000,0.064329,0.000000,0.860264,0.257316,0.000000,0.132874,0.000000,0.064500,1.672554
5.749499,35,0.056972,0.343186,0.000000,0.000000,0.000000,0.341829,0.117241,0.000000,0.057198,0.000000,0.000000,0.762069
5.948441,41,0.258333,0.225165,0.000000,1.547068,0.000000,1.547068,0.076922,0.064583,0.000000,0.064583,0.258333,0.461533
6.149037,37,0.157342,1.731996,0.000000,1.020656,0.000000,1.020398,0.000000,0.000000,0.266461,0.000000,0.157342,0.245277
6.348726,34,0.066615,1.020398,0.333076,0.636875,1.731996,0.636875,0.266461,1.731996,1.756108,1.731996,1.731996,1.931842
6.998920,36,1.629175,0.394148,0.072674,0.157413,0.498702,0.157413,1.629175,0.686684,0.436042,0.436042,0.498702,0.508715
7.998398,41,0.432078,0.062506,0.000000,0.000000,0.250025,1.625163,0.182053,0.000000,0.000000,1.687669,0.000000,0.000000
8.048991,45,0.348320,0.145836,0.000000,0.000000,0.583344,1.625072,0.098308,0.000000,0.000000,3.166711,0.000000,0.000000
8.149895,45,0.321664,0.064583,0.000000,1.865741,0.440591,1.624979,0.071667,0.071759,0.000000,2.276100,0.287037,0.000000
8.198947,45,0.283052,0.059954,0.300000,1.731996,0.387444,1.462513,0.058050,1.527778,0.000000,2.146158,0.266461,0.075000
8.298574,45,0.239999,0.061281,0.258333,1.672554,0.364702,1.555556,0.000000,1.547068,0.000000,2.071616,0.257316,0.064583
8.348750,41,0.253292,0.055762,0.215833,1.481521,0.310223,1.646397,0.000000,1.400077,0.000000,1.798513,1.605704,0.053958
8.449044,39,0.226317,1.527778,0.066615,1.550037,0.226152,1.471059,0.000000,1.004965,0.300000,1.311116,1.850685,0.000000
8.548913,43,0.164985,1.731996,0.290315,1.663404,1.527778,1.056525,0.000000,1.532262,0.341461,0.955804,1.645414,0.372579
8.599514,46,0.133638,1.400077,0.329029,1.439458,1.547068,1.101827,0.000000,1.549061,0.280417,0.726193,2.278111,0.321840
8.648690,49,0.108247,2.224778,0.305027,1.165961,1.558796,0.982813,0.000000,1.562881,0.474825,0.588216,2.154838,0.299926
8.698426,49,0.087680,2.243737,0.305706,0.944428,1.262625,0.830477,0.000000,1.597392,0.399942,0.476455,2.047935,0.255688
8.800661,54,0.063919,2.164905,0.286614,0.688488,0.920454,0.697318,1.527778,1.451457,0.345455,0.347336,2.080017,0.197434
8.848915,54,0.051774,2.070966,0.236636,0.514777,0.745567,0.595329,1.547068,1.175680,0.330161,0.281342,1.805097,0.114703
8.899744,54,0.000000,2.000629,0.206800,0.416970,0.557455,0.554908,1.555641,0.952301,0.316194,0.180784,1.863025,0.092909
8.949694,54,0.075000,1.959752,0.180190,0.637745,0.451539,0.512219,1.593298,0.771364,1.627095,0.097623,1.851498,0.075256
8.998977,49,0.064583,1.903274,0.362064,0.531907,0.365746,0.475769,1.481521,1.527778,1.667598,0.079075,1.825132,0.135958
9.099232,49,0.053958,1.754740,0.329090,1.938056,0.266629,0.393273,1.080029,1.731996,1.545090,0.057646,1.740980,0.066615
9.198995,45,0.064613,1.556888,0.301424,1.694184,0.494373,0.339956,0.726777,1.593298,1.642825,1.527778,1.545944,0.061281
9.298613,48,1.527778,1.119561,0.223049,1.776851,0.435926,0.164176,0.529820,1.638294,1.672720,1.731996,0.969806,0.055762
9.348433,48,1.547068,0.906844,0.180670,1.633890,0.356933,0.132982,0.586103,1.342352,1.433868,1.400077,0.754978,1.527778
9.451147,47,1.402917,0.674519,0.131708,1.203046,0.267082,0.096944,1.988683,1.006083,1.045290,1.020656,0.622138,1.731996
9.549309,47,1.022726,0.491725,0.096015,0.889738,0.114703,0.070672,1.393623,0.733434,0.762016,0.744058,0.453539,1.593298
9.600669,45,0.839685,0.569304,0.077772,0.933073,0.300000,0.057245,1.638926,0.594082,1.527778,1.527778,0.391368,1.481521
9.649228,49,2.166667,2.166667,0.062996,0.724968,0.341667,0.083333,1.617287,0.711307,1.751235,1.547068,0.323995,1.200032
9.699114,49,1.865741,1.327500,0.051026,0.587224,0.239815,0.067500,1.310002,0.593196,1.418500,1.555641,0.213228,0.972026
9.750201,54,1.731996,1.706667,0.000000,0.475651,0.311738,0.067500,2.148886,0.514450,1.200285,1.593298,0.247715,0.787341
9.849268,58,1.400077,1.689074,0.075000,0.385278,0.301613,0.300000,2.050165,0.416704,0.998531,1.610910,1.626345,0.588689
9.899237,58,1.020656,1.530278,0.066615,0.280867,0.224133,0.266461,1.766835,0.254966,0.768398,1.456864,1.803852,0.429154
9.999242,58,0.744058,1.815313,0.061281,0.160822,0.163393,0.245123,1.959536,0.185870,0.659620,1.062054,1.645680,0.312853
10.048987,58,0.669653,1.706458,0.063313,0.144740,0.147054,0.253252,1.820850,0.167283,0.604303,0.955848,1.646135,0.281568
10.200028,54,1.547068,1.714762,0.000000,0.000000,0.151417,0.183303,2.532131,0.258333,0.456795,0.521002,1.191473,0.166263
10.200028,54,1.547068,1.714762,0.000000,0.000000,0.151417,0.183303,2.532131,0.258333,0.456795,0.521002,1.191473,0.166263
10.298991,48,1.593298,1.188661,0.000000,0.258333,0.348318,0.120265,2.298864,0.245123,1.547068,1.865741,0.593049,0.072724
11.899525,53,1.750000,0.062500,0.000000,0.000000,0.312500,1.625001,0.000000,0.250000,0.000000,1.687500,0.000000,0.000000
12.149607,39,1.033357,0.299769,1.555641,1.555641,0.387437,0.959546,1.615595,0.147622,0.000000,1.915651,0.239815,0.000000
12.348894,23,0.610187,0.168825,1.097363,1.097363,0.435286,0.789478,1.097363,0.087170,0.000000,2.264161,1.900821,1.731996
12.548995,41,0.472352,0.099689,0.598137,0.664481,1.731996,1.731996,0.863514,0.051473,0.066615,1.401510,1.120346,2.486023
12.800758,41,0.360864,0.112933,0.317874,1.555641,0.918358,1.634393,0.459444,0.059954,0.000000,1.951876,0.740424,1.324396
13.099498,45,0.184683,0.064329,0.216367,1.629175,0.664096,0.860264,0.219750,0.062661,0.000000,2.378998,1.953989,0.633455
13.299130,41,0.265493,0.000000,0.122111,1.064336,0.401025,1.725706,0.059851,0.000000,0.000000,1.462511,1.752118,0.334054
13.698703,37,0.122868,1.593298,0.000000,0.380627,0.124082,0.798640,0.000000,0.000000,0.245123,0.498976,0.779654,0.061961
14.198937,41,0.247832,1.625367,0.000000,0.079630,0.000000,1.610910,0.000000,0.000000,0.250056,0.140168,0.224756,0.000000
14.550035,35,0.132348,0.863678,0.000000,0.064329,0.000000,0.860264,0.257316,0.000000,0.132874,0.000000,0.064500,1.672554
14.899491,35,0.056972,0.343186,0.000000,0.000000,0.000000,0.341829,0.117241,0.000000,0.057198,0.000000,0.000000,0.762069
15.098949,41,0.266461,0.202648,0.000000,1.731996,0.000000,1.731996,0.069230,0.066615,0.000000,0.066615,0.266461,0.415379
15.298895,37,0.157342,1.731996,0.000000,1.020656,0.000000,1.020398,0.000000,0.000000,0.266461,0.000000,0.157342,0.245277
15.498935,34,0.066615,1.020398,0.333076,0.636875,1.731996,0.636875,0.266461,1.731996,1.756108,1.731996,1.731996,1.931842
16.948544,36,1.625006,0.250001,0.000000,0.000000,0.116367,0.000000,1.625006,0.303867,0.053866,0.053866,0.116367,0.053866
16.999519,36,1.625003,0.325000,0.000000,0.300000,0.362500,0.000000,1.625003,0.250000,1.527778,1.527778,0.062500,0.000000
17.149237,41,1.351832,0.242203,0.000000,0.209250,0.239815,1.547068,1.184624,0.182250,1.360125,1.620225,0.000000,0.000000
17.200979,45,1.125549,0.280518,0.000000,0.169492,0.531584,1.555641,0.959545,0.147622,1.101701,2.454115,0.000000,0.000000
17.249033,45,0.962567,0.184157,0.000000,1.527778,0.445917,1.593298,0.777232,0.194574,0.892378,2.297401,0.300000,0.000000
17.349226,45,0.728151,0.151498,0.287037,1.731996,0.394064,1.333369,0.523017,1.865741,0.650544,2.219547,0.266461,0.071759
17.398880,45,0.675564,0.133920,0.266461,1.672554,0.364018,1.550037,0.423644,1.731996,0.486406,2.089199,0.257316,0.066615
17.498833,41,0.564745,0.101659,0.194250,1.290571,0.281493,1.663404,0.308836,1.260069,0.354590,1.627831,1.920772,0.000000
17.600573,39,0.424451,1.865741,0.059954,1.724090,0.205208,1.295512,0.225142,0.914098,0.545533,1.186689,1.700979,0.000000
17.699146,43,0.309425,1.555641,0.282254,1.595640,1.865741,0.931734,0.164128,1.834651,0.500018,0.865096,1.496039,0.357601
17.750418,46,0.206320,1.505298,0.339335,1.480116,1.731996,1.006142,0.088629,1.718178,0.450839,0.657521,2.203078,0.332545
17.798456,49,0.167119,2.278111,0.320955,1.198894,1.400077,0.905308,0.071790,1.666413,0.570009,0.532592,2.094061,0.279926
17.849197,49,0.135366,2.286937,0.312785,0.971104,1.134062,0.767698,0.058150,1.643406,0.477040,0.431400,1.998706,0.238033
17.948606,54,0.056291,2.215287,0.264284,0.707935,0.826732,0.652880,1.865741,1.306311,0.358297,0.314490,2.040888,0.177690
17.999197,54,0.000000,2.118759,0.218549,0.529317,0.669653,0.558848,1.731996,1.058112,0.338623,0.254737,1.778059,0.103232
17.999197,54,0.000000,2.118759,0.218549,0.529317,0.669653,0.558848,1.731996,1.058112,0.338623,0.254737,1.778059,0.103232
18.049456,54,0.075000,2.008699,0.183168,0.685872,0.450549,0.520002,1.593298,0.771364,1.628103,0.097623,1.928911,0.075256
18.098907,49,0.071759,1.987413,0.394502,0.634322,0.405494,0.486614,1.646135,2.166667,1.972005,0.087861,1.825361,0.151064
18.248833,49,0.000000,1.764224,0.302490,1.916472,0.239440,0.383867,0.972026,1.555641,1.412973,0.051881,1.730916,0.059954
18.349379,45,0.066677,1.417509,0.303782,1.702442,0.461589,0.304253,0.654099,1.646135,1.802731,1.865741,1.387680,0.063313
