time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
10.098829,48,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
13.399103,85,0.000000,0.064611,0.064611,0.000000,0.064611,0.000000,0.000000,0.000000,0.064611,0.000000,0.000000,0.000000
27.949808,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
28.898825,81,0.062491,0.312453,0.000000,0.312453,1.749737,0.000000,1.749737,0.000000,1.687246,1.624756,0.062491,1.749737
29.399334,58,0.000000,0.087178,0.062861,0.087178,0.610248,0.251445,0.610248,0.000000,0.523070,0.523070,1.634393,0.610248
30.048592,58,0.000000,0.000000,0.000000,0.000000,0.079774,0.063302,0.079774,0.000000,0.079774,0.079774,0.379811,0.079774
30.748764,82,0.000000,1.751998,0.312857,0.000000,0.250285,0.250285,1.626855,1.626855,0.250285,1.626855,1.678989,0.062571
31.449141,94,0.062571,0.400039,1.689427,0.250285,1.684004,0.307434,0.405462,0.342891,1.626855,0.593176,1.855447,0.250285
32.449150,82,0.062506,0.062506,0.494757,1.625163,0.432251,0.250025,0.000000,1.687669,1.685905,1.625163,1.625163,0.062506
33.049225,82,0.000000,0.000000,1.629175,1.927470,0.070603,0.070603,0.062661,0.486277,0.423616,0.674258,0.674258,0.000000
34.249294,58,0.000000,0.000000,0.151229,0.088731,0.000000,0.249993,0.000000,0.000000,0.000000,0.000000,1.624952,0.000000
39.748718,94,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
40.298851,45,1.634393,0.062861,1.885838,0.000000,0.251445,0.000000,0.062861,1.634393,0.000000,1.634393,0.000000,0.062861
40.799843,81,0.587223,0.314306,0.611755,0.314306,1.847509,0.000000,1.760116,0.524361,1.697255,2.158755,0.062861,1.760116
45.848576,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
53.150124,81,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
