time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
4.149289,52,0.326764,0.142307,0.144875,0.528562,0.601715,0.592702,0.493045,0.396572,0.373251,0.330954,0.386892,0.419111,
4.799394,67,0.061052,0.027279,0.111140,0.172323,0.085678,0.091450,0.095156,0.807386,0.577235,0.058786,0.064089,0.082795,
5.399028,68,0.011044,0.003966,0.110113,0.084992,0.015311,0.016925,0.021482,0.825797,0.499037,0.032842,0.012011,0.021760,
6.398591,67,0.001597,0.000221,0.140746,0.043306,0.001657,0.009333,0.006925,0.943474,0.310631,0.001627,0.000746,0.018078,
7.198787,67,0.001110,0.000139,0.130507,0.042157,0.000132,0.003207,0.009353,0.959140,0.229561,0.008707,0.001037,0.009312,
9.249594,67,0.000009,0.000014,0.007966,0.000350,0.000060,0.000045,0.019688,0.998489,0.014940,0.000366,0.000066,0.000068,
9.798883,67,0.025836,0.000981,0.154241,0.088356,0.005343,0.004075,0.076762,0.812386,0.185017,0.046504,0.012373,0.130487,
10.500509,68,0.005969,0.000136,0.023161,0.053341,0.001339,0.002806,0.016260,0.278770,0.875105,0.005219,0.001917,0.016480,
11.749472,67,0.000464,0.000313,0.049471,0.010519,0.000026,0.000658,0.028751,0.978132,0.087548,0.003367,0.001850,0.006047,
12.599834,67,0.003140,0.000025,0.100105,0.092080,0.000124,0.005624,0.005995,0.692362,0.621780,0.005061,0.000589,0.021512,
13.549005,67,0.001694,0.000013,0.162356,0.099166,0.000279,0.006196,0.005579,0.914397,0.397332,0.009248,0.000843,0.015540,
15.448694,68,0.254324,0.158906,0.163489,0.609191,0.441770,0.729466,0.546939,0.358333,0.325843,0.507274,0.616547,0.395033,
16.195702,67,0.026095,0.019193,0.190821,0.061132,0.047076,0.099152,0.158710,0.937293,0.045936,0.066298,0.063953,0.067986,
17.099344,67,0.003523,0.002044,0.135440,0.026947,0.004145,0.065040,0.036441,0.944558,0.272819,0.031558,0.007375,0.072267,
18.449181,69,0.006356,0.002241,0.002120,0.027263,0.061112,0.000961,0.001396,0.015338,0.613919,0.984264,0.000138,0.001137,
18.948734,68,0.016652,0.001481,0.094156,0.105459,0.034153,0.012678,0.021349,0.596561,0.505109,0.331447,0.004766,0.049238,
20.198580,69,0.010392,0.003610,0.005199,0.036038,0.073927,0.001002,0.005326,0.053350,0.637617,0.945127,0.000256,0.003403,
21.199392,67,0.001166,0.000231,0.094385,0.012126,0.004793,0.002385,0.005663,0.868325,0.201676,0.068751,0.000517,0.010146,
21.748722,68,0.007047,0.000755,0.106172,0.099081,0.003215,0.011089,0.005802,0.597727,0.762874,0.012869,0.000915,0.041231,
22.748993,67,0.000980,0.000068,0.095898,0.014179,0.000138,0.003090,0.004194,0.971246,0.218612,0.004076,0.000528,0.027136,
23.348984,68,0.000613,0.000010,0.020812,0.060420,0.000561,0.006539,0.005485,0.265120,0.841470,0.000985,0.000120,0.007014,
24.149649,67,0.000096,0.000016,0.024180,0.007944,0.000044,0.000626,0.009909,0.907263,0.128051,0.008005,0.000840,0.002563,
24.998871,68,0.002259,0.000016,0.022780,0.108270,0.000862,0.007436,0.007193,0.253943,0.879277,0.008104,0.001087,0.005951,
25.899593,67,0.001582,0.000015,0.035496,0.031060,0.000523,0.002854,0.010510,0.903231,0.191651,0.014834,0.001305,0.006956,
28.546680,67,0.222436,0.205539,0.205870,0.423407,0.454634,0.723458,0.483213,0.267814,0.251656,0.297509,0.677013,0.376731,
30.249504,68,0.491453,0.488011,0.423499,0.595195,0.598904,0.674366,0.497891,0.357889,0.510672,0.592094,0.459522,0.419131,
30.799860,68,0.111155,0.105747,0.367113,0.186448,0.115219,0.144315,0.145226,0.850224,0.247306,0.173921,0.125527,0.186545,
32.198814,69,0.006136,0.003262,0.006789,0.031976,0.077380,0.002524,0.002391,0.030619,0.550820,0.966848,0.001792,0.003285,
