time,playingmode,timeout,timeoutenable,continuity,outputprobability,cut,timestretch,regionmaskenable,regionmasklow,regionmaskhigh
0.000000,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.047270,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.098700,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.148619,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.198368,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.248079,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.300048,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.347555,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.398787,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.447343,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.497273,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.547542,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.597067,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.649535,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.697815,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.746749,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.796954,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.848063,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.897607,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.947790,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
0.997229,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.051490,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.098704,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.147448,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
1.197970,1,2.000000,1,1.500000,1.000000,0,1.000000,0,0.899465,1.000000
