time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
3.999748,59,0.412949,0.363866,0.417519,0.600221,0.607347,0.443971,0.400147,0.317856,0.437989,0.638268,0.305873,0.484695,
4.798890,34,0.431025,0.546383,0.341237,0.255531,0.655664,0.927803,0.220083,0.593787,0.207207,0.406119,0.493751,0.257627,
6.898927,33,0.102776,0.233354,0.062572,0.121197,0.755655,0.261181,0.155219,0.416055,0.150759,0.968961,0.292197,0.597779,
8.798762,35,0.375513,0.439321,0.364697,0.587000,0.476357,0.323672,0.512022,0.648213,0.372497,0.324770,0.402447,0.717402,
9.349396,38,0.371389,0.395207,0.563010,0.466437,0.345379,0.301847,0.292712,0.352889,0.397932,0.463148,0.430492,0.319306,
10.199768,43,0.224042,0.290127,0.441068,0.311419,0.404591,0.261128,0.258764,0.784377,0.335226,0.218727,0.338470,0.570064,
14.198563,35,0.566208,0.484527,0.398001,0.334778,0.725543,0.528278,0.368089,0.500415,0.354814,0.408985,0.581325,0.519659,
16.199566,41,0.427421,0.489095,0.341155,0.534176,0.742554,0.446661,0.383813,0.385309,0.338490,0.483987,0.431829,0.562764,
18.049021,41,0.272684,0.262166,0.366199,0.319684,0.328937,0.489580,0.197301,0.194243,0.266607,0.470239,0.555478,0.252012,
19.998749,49,0.382263,0.348074,0.395148,0.389664,0.533721,0.773455,0.402508,0.489364,0.437319,0.463494,0.753864,0.548056,
20.898703,34,0.450056,0.386391,0.263768,0.527457,0.509505,0.580746,0.333521,0.333311,0.467331,0.477306,0.392257,0.350971,
22.199629,49,0.380933,0.377362,0.359902,0.382105,0.531230,0.356277,0.362136,0.324355,0.352839,0.471895,0.537893,0.590936,
22.749334,49,0.188163,0.634172,0.332410,0.224288,0.288457,0.232209,0.180404,0.140511,0.459231,0.341011,0.288805,0.263075,
23.549742,49,0.229764,0.366583,0.527529,0.329991,0.260152,0.453927,0.246951,0.286359,0.448822,0.349402,0.521839,0.329460,
24.449503,34,0.288032,0.294451,0.356272,0.387200,0.383954,0.558730,0.266950,0.233783,0.451825,0.422860,0.582982,0.347220,
26.148745,52,0.575873,0.499681,0.336952,0.465506,0.702592,0.403020,0.287892,0.359099,0.407496,0.219694,0.342128,0.383627,
27.999819,33,0.439186,0.646651,0.353172,0.460244,0.475657,0.540153,0.610678,0.455276,0.403526,0.416802,0.561436,0.373326,
28.648935,42,0.229551,0.708344,0.177886,0.169186,0.283339,0.465250,0.837178,0.277042,0.177585,0.169643,0.366120,0.158000,
29.349394,42,0.240277,0.757117,0.161117,0.127152,0.236770,0.453016,0.856940,0.254029,0.120060,0.117051,0.297326,0.129058,
29.999598,42,0.300470,0.587893,0.195080,0.241453,0.235329,0.577364,0.804625,0.323035,0.174598,0.153994,0.236039,0.180608,
31.648687,41,0.361072,0.365426,0.276675,0.301676,0.386477,0.479888,0.481609,0.344371,0.297636,0.316334,0.491666,0.527589,
32.648518,47,0.330636,0.305456,0.317572,0.426841,0.467237,0.474254,0.393869,0.405935,0.472550,0.516825,0.544122,0.573196,
33.798717,47,0.507765,0.601721,0.517728,0.446652,0.484702,0.366146,0.433203,0.564839,0.571359,0.547443,0.496365,0.620613,
35.448612,50,0.082360,0.289557,0.898693,0.303703,0.168763,0.046710,0.057445,0.027639,0.030812,0.256744,0.049502,0.024738,
35.998760,46,0.110192,0.291595,0.525950,0.196149,0.322195,0.211673,0.087765,0.085154,0.116771,0.240433,0.417389,0.249881,
37.248684,50,0.521183,0.363830,0.549229,0.576630,0.561071,0.391499,0.430841,0.452776,0.439193,0.445781,0.428831,0.666892,
38.098518,52,0.068474,0.219266,0.129338,0.193506,0.785524,0.096715,0.047048,0.059303,0.241587,0.045491,0.108770,0.721605,
38.649014,47,0.097425,0.158854,0.118258,0.223711,0.193245,0.114451,0.344463,0.115038,0.119258,0.088659,0.302534,0.912456,
40.398666,48,0.561967,0.383918,0.249085,0.181551,0.323788,0.358810,0.304355,0.472067,0.403271,0.329755,0.669412,0.494319,
40.998764,51,0.120547,0.129904,0.197227,0.637299,0.131978,0.103645,0.143136,0.187456,0.087016,0.134751,0.543195,0.361225,
41.749691,45,0.060914,0.494340,0.043942,0.110105,0.907654,0.156418,0.051040,0.120110,0.080785,0.623278,0.190107,0.063745,
42.298775,44,0.307245,0.218761,0.238189,0.587928,0.333344,0.106374,0.092729,0.426023,0.652464,0.257289,0.097185,0.194921,
43.298943,42,0.261136,0.437015,0.160739,0.201651,0.272783,0.586537,0.864614,0.305163,0.171748,0.167319,0.248095,0.198625,
43.999466,45,0.297642,0.189930,0.187323,0.337906,0.455927,0.324653,0.230379,0.208192,0.460189,0.547867,0.202307,0.141646,
47.199814,39,0.436105,0.231918,0.240594,0.494809,0.621457,0.765514,0.406410,0.338440,0.369672,0.306303,0.243702,0.324026,
51.648949,39,0.273926,0.275192,0.308505,0.461960,0.564780,0.678588,0.537381,0.340254,0.177781,0.195220,0.255595,0.291029,
55.699852,40,0.038032,0.014853,0.038293,0.283375,0.999996,0.333420,0.072688,0.037218,0.084588,0.010620,0.039208,0.380985,
58.599483,41,0.238820,0.298307,0.369939,0.461897,0.697394,0.600563,0.408106,0.512360,0.605487,0.387483,0.361471,0.313190,
59.798733,32,0.415639,0.444352,0.428369,0.538919,0.731913,0.620207,0.349444,0.298348,0.394417,0.364819,0.261215,0.323852,
60.749641,32,0.308327,0.384429,0.309916,0.406772,0.721378,0.714631,0.475545,0.413847,0.473207,0.519612,0.303050,0.317650,
61.649323,32,0.332752,0.408218,0.311283,0.477320,0.788659,0.677482,0.534433,0.480771,0.535897,0.466175,0.316068,0.264834,
62.449333,32,0.339638,0.384854,0.369570,0.500781,0.833584,0.492918,0.403194,0.440862,0.630540,0.537242,0.254114,0.306334,
63.399467,32,0.276937,0.483465,0.385325,0.530198,0.838006,0.589883,0.367687,0.376400,0.313473,0.351998,0.265875,0.218853,
64.499725,32,0.361456,0.456150,0.448859,0.574986,0.752955,0.665522,0.408299,0.505403,0.431520,0.397881,0.387463,0.502300,
