time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2.599494,57,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3.848951,94,0.312506,0.000000,0.062501,0.250005,0.000000,1.875037,0.000000,0.000000,1.625032,0.062501,1.625032,0.000000
4.349277,88,0.087168,0.000000,0.000000,0.338614,1.634393,0.610179,0.000000,0.000000,1.745869,0.000000,0.523011,0.251445
6.148427,93,0.000000,0.062500,0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,1.625000,0.000000,0.000000
6.348580,82,0.000000,0.066615,0.066615,0.000000,0.430486,0.266461,0.000000,0.000000,0.000000,2.132006,1.731996,0.000000
6.899122,81,0.000000,0.000000,0.000000,0.000000,0.089721,0.089721,0.000000,0.000000,0.000000,0.544184,0.538323,0.000000
12.449638,82,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
15.399424,82,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.202628,0.000000
16.049475,97,0.000000,1.629175,0.313303,0.000000,0.000000,0.313303,0.000000,1.629175,0.250642,0.000000,1.629175,0.062661
16.398609,108,1.801212,1.882479,0.133012,0.000000,0.000000,1.868072,1.672554,1.121894,0.250025,0.064329,0.864578,0.000000
16.948568,92,0.618123,0.611344,0.000000,0.251445,0.000000,0.529820,0.529820,0.313702,1.634393,0.000000,0.225399,0.000000
17.349270,81,0.205263,0.196372,0.245123,1.713179,0.245123,0.205263,0.205263,1.593298,0.779229,1.593298,0.245123,0.061281
17.649258,83,0.065451,0.064614,0.146343,1.011180,0.146343,0.065451,0.305266,0.951226,0.344033,0.951226,0.146343,1.555641
17.901413,86,0.000000,0.000000,1.731996,0.466634,0.077772,0.000000,0.227440,0.466634,0.182833,0.733095,0.077772,1.045363
19.149775,106,0.000000,0.000000,1.625003,1.687533,0.000000,0.250005,0.250005,0.062501,0.000000,0.250000,1.750035,1.625032
21.249001,79,0.000000,0.000000,0.225000,0.000000,0.000000,0.000000,0.000000,1.462500,0.000000,0.000000,0.000000,0.056250
21.548893,82,0.000000,0.000000,0.171946,0.000000,0.000000,0.257316,0.000000,0.699509,0.000000,0.000000,1.672554,0.000000
21.648430,85,0.000000,1.527778,0.135434,0.000000,0.000000,0.302926,0.000000,0.470716,0.300000,0.000000,1.481521,0.000000
21.849373,79,0.000000,1.127812,0.258333,0.000000,0.000000,0.134588,0.000000,1.547068,0.188325,0.000000,0.874824,0.064583
21.999363,92,0.071759,0.739958,0.194250,0.287037,0.000000,0.088303,0.000000,1.260069,1.865741,0.000000,0.529820,0.000000
22.599070,106,0.311489,0.172384,0.000000,0.249810,0.000000,1.867774,0.000000,0.295605,1.623763,0.062259,1.584002,0.000000
23.600599,100,0.249963,0.062491,0.000000,0.062491,1.624756,1.759610,0.249962,0.000000,0.202559,1.624756,0.202281,1.749737
24.299269,89,0.063542,0.000000,0.000000,0.000000,0.381254,0.381254,0.063542,0.000000,0.000000,0.381254,0.000000,0.444797
25.199230,82,0.000000,0.000000,0.062479,0.000000,0.000000,0.249915,0.000000,0.000000,0.000000,0.000000,1.624450,0.000000
