time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
1.048648,65,0.124109,0.118678,0.143570,0.257302,0.166246,0.290072,0.284780,0.219745,0.180646,0.170119,0.118307,0.133677
2.748874,65,0.068196,0.000883,0.000793,0.003202,0.005710,0.996729,0.012317,0.001838,0.000985,0.019521,0.000548,0.000659
2.999316,65,0.067676,0.003267,0.028904,0.282140,0.019350,0.787724,0.046270,0.006716,0.000796,0.015291,0.027156,0.001137
3.199789,53,0.067874,0.004144,0.015739,0.155944,0.011866,0.542903,0.098260,0.008557,0.002654,0.011640,0.030315,0.372005
3.350532,65,0.075645,0.004047,0.009639,0.094696,0.007903,0.702512,0.109587,0.006686,0.003518,0.016192,0.033447,0.272049
3.598340,63,0.049163,0.003818,0.019661,0.477388,0.053866,0.456568,0.085448,0.010683,0.002289,0.007738,0.050925,0.125431
3.949016,70,0.016568,0.001973,0.010634,0.192785,0.046119,0.160266,0.028362,0.003663,0.004048,0.332751,0.401214,0.060848
4.149739,65,0.057006,0.004291,0.006390,0.102830,0.025385,0.497808,0.092608,0.004436,0.005095,0.197801,0.300565,0.036733
4.549286,61,0.092669,0.677989,0.015622,0.029655,0.009081,0.194318,0.047239,0.004211,0.009344,0.056899,0.085944,0.011587
5.048850,65,0.094723,0.187754,0.006787,0.006409,0.004008,0.799885,0.051076,0.001460,0.003084,0.014743,0.018368,0.003793
5.398587,71,0.045969,0.062220,0.002236,0.004329,0.002538,0.340487,0.063521,0.003655,0.002213,0.005770,0.011955,0.614266
5.749499,70,0.017170,0.020691,0.002197,0.001578,0.002645,0.122101,0.024260,0.001961,0.003292,0.254488,0.462230,0.263947
5.899353,65,0.035541,0.014361,0.001740,0.001537,0.003585,0.425714,0.066024,0.004629,0.005651,0.176770,0.344827,0.168041
6.149037,61,0.129223,0.463114,0.014269,0.001049,0.004902,0.292163,0.077542,0.010803,0.013071,0.097502,0.172579,0.105432
6.348726,58,0.103979,0.348870,0.017235,0.000936,0.002707,0.160890,0.040724,0.005985,0.009059,0.104786,0.497348,0.083647
6.998920,60,0.860019,0.062764,0.002612,0.000286,0.003466,0.021023,0.005312,0.015741,0.001519,0.018730,0.099817,0.116985
10.200028,65,0.128994,0.125065,0.157393,0.274112,0.177348,0.289154,0.287361,0.234396,0.194159,0.179749,0.127179,0.139205
11.899525,65,0.068583,0.000902,0.000832,0.003247,0.005820,0.996834,0.012964,0.001893,0.001018,0.019441,0.000571,0.000666
12.149607,65,0.066930,0.003222,0.029051,0.284982,0.019533,0.785994,0.045814,0.006843,0.000840,0.015350,0.027402,0.001199
12.348894,53,0.068395,0.004150,0.015356,0.152489,0.011620,0.532240,0.100217,0.008830,0.003170,0.013043,0.035198,0.388954
12.501425,65,0.075181,0.004017,0.009697,0.095617,0.007982,0.698811,0.109307,0.006706,0.003493,0.016007,0.033090,0.272789
12.749026,63,0.047701,0.003737,0.020406,0.491341,0.063665,0.444017,0.082938,0.010500,0.002206,0.007403,0.051379,0.121684
13.048441,70,0.018911,0.002222,0.011001,0.221154,0.052099,0.178743,0.032354,0.004143,0.004456,0.381531,0.308293,0.062821
13.299130,65,0.056780,0.004280,0.006405,0.103038,0.024964,0.494956,0.091777,0.004400,0.005162,0.199277,0.303436,0.036902
13.698703,61,0.094178,0.687679,0.015871,0.028734,0.008795,0.191486,0.047111,0.004296,0.009502,0.055468,0.083881,0.011375
14.198937,65,0.094031,0.181625,0.006579,0.006144,0.003929,0.807276,0.052699,0.001484,0.002996,0.014249,0.017747,0.003671
14.550035,71,0.045326,0.060770,0.002190,0.004272,0.002451,0.334961,0.062674,0.003519,0.002161,0.006497,0.013056,0.619666
