time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
3.149425,65,0.123873,0.127527,0.170879,0.288634,0.153671,0.236363,0.270084,0.217031,0.180743,0.163598,0.115337,0.128922,stopped
4.848936,65,0.067697,0.000874,0.000887,0.003356,0.004452,0.996732,0.009921,0.001824,0.000963,0.019836,0.000518,0.000628,running
5.099680,65,0.061613,0.002855,0.027003,0.302226,0.017356,0.774474,0.039145,0.006982,0.000768,0.015494,0.028627,0.001049,running
5.248702,71,0.078736,0.004727,0.016644,0.187729,0.012262,0.667472,0.094791,0.009485,0.002269,0.011620,0.023316,0.240537,running
5.498957,65,0.075277,0.003740,0.007729,0.087238,0.006198,0.724925,0.102444,0.005841,0.002885,0.013838,0.028323,0.257228,running
5.699549,63,0.051104,0.003757,0.015347,0.457873,0.035743,0.483219,0.085795,0.010599,0.002154,0.007313,0.047611,0.131781,running
6.049266,70,0.016867,0.001793,0.009695,0.203655,0.042866,0.167031,0.028251,0.003677,0.003603,0.359343,0.367674,0.059527,running
6.249507,65,0.052008,0.003924,0.006239,0.109555,0.023133,0.463610,0.079645,0.003953,0.004901,0.214625,0.328381,0.037828,running
6.399694,63,0.123448,0.216526,0.041158,0.167211,0.037894,0.458679,0.106491,0.013719,0.007083,0.135766,0.236752,0.032970,running
6.599507,57,0.070193,0.138180,0.051836,0.269364,0.270805,0.248261,0.058309,0.018653,0.024873,0.402078,0.200023,0.026394,running
6.799670,58,0.042112,0.085334,0.039673,0.146890,0.274041,0.187302,0.033867,0.016803,0.038815,0.418244,0.440182,0.027635,running
7.348837,54,0.012053,0.072470,0.009303,0.032696,0.056242,0.111959,0.813237,0.012436,0.018146,0.094603,0.198908,0.016071,running
7.699722,53,0.045672,0.031097,0.018163,0.024174,0.054010,0.475724,0.352483,0.023829,0.033697,0.167252,0.330756,0.017326,running
7.898691,51,0.037664,0.028500,0.038813,0.420721,0.077000,0.368485,0.200974,0.340332,0.026573,0.120924,0.460419,0.017870,running
12.649165,49,0.047781,0.057428,0.086447,0.138797,0.091356,0.063134,0.044366,0.029633,0.014910,0.024672,0.077083,0.055342,running
12.899481,57,0.025474,0.049660,0.088048,0.322121,0.316181,0.037952,0.023347,0.028911,0.028644,0.357813,0.143516,0.037027,running
13.098775,58,0.018657,0.037644,0.059287,0.174965,0.289519,0.079412,0.015432,0.022293,0.041192,0.383916,0.422646,0.033410,running
13.649218,54,0.008200,0.064451,0.012847,0.038487,0.060518,0.093722,0.806212,0.013118,0.018568,0.091068,0.195089,0.017129,running
13.998945,53,0.043341,0.029179,0.019491,0.025539,0.054944,0.459694,0.359353,0.024586,0.034417,0.164918,0.337431,0.017938,running
14.199155,51,0.036694,0.027289,0.040251,0.434693,0.078108,0.361338,0.198152,0.350858,0.026650,0.119033,0.466251,0.018097,running
15.599022,49,0.404128,0.494086,0.209010,0.309084,0.388975,0.532954,0.477996,0.441088,0.391793,0.541743,0.673384,0.517260,running
15.798722,66,0.229716,0.286056,0.116060,0.174182,0.217808,0.302259,0.723385,0.277150,0.228129,0.306731,0.388194,0.288368,running
15.999001,63,0.117618,0.152784,0.064624,0.442659,0.137150,0.159863,0.540945,0.167230,0.117682,0.157086,0.264001,0.148591,running
16.299711,70,0.044703,0.059345,0.060814,0.219303,0.071306,0.081956,0.206186,0.065642,0.056034,0.373607,0.442670,0.083749,running
16.499308,73,0.025464,0.400059,0.106574,0.117000,0.037859,0.116714,0.111491,0.037548,0.197127,0.216153,0.372993,0.093060,running
16.699104,70,0.016151,0.346948,0.087459,0.065938,0.024251,0.108867,0.175318,0.026514,0.168687,0.124022,0.521504,0.087475,running
16.948603,70,0.007427,0.158621,0.048710,0.030903,0.011187,0.058887,0.081992,0.348720,0.155816,0.069834,0.526834,0.061179,running
17.098732,69,0.004577,0.097637,0.030735,0.019017,0.009332,0.042921,0.050611,0.214572,0.096195,0.277217,0.542933,0.047839,running
17.398838,68,0.002340,0.041644,0.011869,0.014106,0.005938,0.018210,0.339116,0.158056,0.268030,0.264360,0.214078,0.018158,running
17.548574,67,0.002072,0.025625,0.010672,0.018152,0.003848,0.011205,0.209019,0.347589,0.379688,0.171406,0.131727,0.011456,running
17.748854,65,0.013573,0.015275,0.008401,0.009914,0.002327,0.303886,0.201078,0.405091,0.225822,0.091079,0.069803,0.006336,running
21.699368,66,0.053469,0.039517,0.034600,0.030286,0.027320,0.025838,0.026014,0.030290,0.037233,0.059789,0.105553,0.092189,running
21.849482,70,0.037203,0.026165,0.024032,0.019725,0.018045,0.027950,0.017077,0.019696,0.024960,0.045425,0.449636,0.122737,running
22.099871,70,0.017032,0.012213,0.020113,0.009832,0.008350,0.021778,0.009836,0.362388,0.093824,0.034550,0.477104,0.076905,running
22.298607,69,0.009032,0.006540,0.011471,0.005213,0.007835,0.018670,0.005388,0.192051,0.050087,0.322030,0.487966,0.051775,running
22.548756,68,0.004436,0.007963,0.005291,0.006973,0.005473,0.010358,0.347151,0.168102,0.214049,0.269993,0.221568,0.022786,running
22.749472,67,0.003016,0.004221,0.007193,0.013814,0.003112,0.005489,0.184308,0.404750,0.347810,0.152803,0.117413,0.012473,running
22.899130,65,0.012220,0.004016,0.006464,0.008753,0.002189,0.257187,0.193158,0.424392,0.233909,0.094278,0.072246,0.007880,running
23.149408,66,0.011266,0.006588,0.003131,0.003995,0.001380,0.243221,0.571267,0.238894,0.106878,0.043026,0.033383,0.003601,running
23.299278,63,0.007020,0.006295,0.007515,0.294296,0.031345,0.151129,0.482771,0.186572,0.069526,0.027445,0.026105,0.002492,running
