time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B,stopped
2.747934,48,0.237737,0.238347,0.326582,0.300165,0.177519,0.203518,0.563098,0.846925,0.481934,0.237703,0.315891,0.384667,
7.048669,66,0.162378,0.351465,0.423886,0.344954,0.266341,0.383050,0.663584,0.390502,0.252710,0.148626,0.109941,0.095014,
9.500957,57,0.160780,0.168569,0.217142,0.263781,0.254108,0.299858,0.221362,0.297216,0.382125,0.707595,0.586210,0.402681,
10.749816,58,0.003958,0.003461,0.009779,0.005565,0.007051,0.055867,0.014257,0.005735,0.007517,0.028077,0.991967,0.359364,
12.648230,59,0.600509,0.000208,0.000085,0.000948,0.000018,0.000275,0.033856,0.012835,0.000018,0.000071,0.013500,0.998291,
16.097994,60,0.999993,0.131513,0.000005,0.000002,0.001263,0.000007,0.000054,0.025713,0.001128,0.000000,0.000001,0.043211,
18.848827,61,0.102850,0.117832,0.278349,0.266797,0.100864,0.183377,0.248272,0.848079,0.576993,0.180705,0.103515,0.033809,
20.498888,103,0.001378,0.016099,0.047473,0.026509,0.012107,0.074556,0.935517,0.243328,0.045890,0.014509,0.015082,0.006963,
21.298607,102,0.000765,0.038965,0.010226,0.009088,0.010200,0.148497,0.994928,0.034833,0.007620,0.002164,0.014151,0.001296,
22.947786,102,0.002197,0.008590,0.003921,0.002424,0.181004,0.990250,0.066590,0.002273,0.017469,0.002027,0.005112,0.002657,
24.647858,100,0.001063,0.001410,0.003242,0.001313,0.029029,0.964404,0.375053,0.001072,0.007310,0.006996,0.002913,0.012502,
25.947994,102,0.001010,0.005024,0.028277,0.004172,0.003411,0.046694,0.845608,0.479638,0.008683,0.001738,0.007013,0.007725,
27.499018,103,0.000366,0.000200,0.006372,0.002995,0.000540,0.008053,0.014894,0.943663,0.535106,0.001788,0.020706,0.001523,
28.199591,104,0.001709,0.003744,0.076269,0.005475,0.001221,0.009482,0.047347,0.582887,0.923870,0.002657,0.014222,0.010011,
33.147850,104,0.238764,0.282090,0.422595,0.540132,0.437478,0.360327,0.546775,0.767505,0.504839,0.224508,0.415824,0.435224,
34.748562,57,0.031250,0.010522,0.013053,0.037970,0.029453,0.015519,0.011852,0.022725,0.545208,0.991223,0.125239,0.071849,
36.297878,57,0.003654,0.001459,0.001009,0.002630,0.005934,0.002789,0.001552,0.006700,0.429876,0.999856,0.035315,0.006166,
37.348629,57,0.015181,0.005388,0.003538,0.009245,0.046520,0.023781,0.003766,0.008657,0.480502,0.986938,0.038261,0.013647,
39.098686,57,0.002754,0.001450,0.000156,0.000108,0.000230,0.000123,0.000191,0.000998,0.193584,0.999950,0.118878,0.007443,
44.250900,59,0.133899,0.159333,0.202006,0.152396,0.172517,0.601195,0.691338,0.311081,0.193927,0.304232,0.174646,0.152087,
45.849106,69,0.000828,0.001082,0.001285,0.001142,0.048375,0.904222,0.114603,0.069165,0.022466,0.375690,0.002208,0.000951,
46.498116,65,0.000106,0.000148,0.000305,0.000165,0.022906,0.930656,0.089125,0.085048,0.008240,0.108242,0.000350,0.000121,
47.250435,65,0.000010,0.000020,0.000028,0.000022,0.022333,0.972030,0.065921,0.010492,0.006361,0.113444,0.000174,0.000011,
48.198975,65,0.000105,0.000076,0.000001,0.000001,0.018177,0.998631,0.117185,0.000773,0.002952,0.055200,0.000141,0.000001,
49.698204,65,0.025863,0.051486,0.218996,0.134710,0.066037,0.669348,0.073567,0.011541,0.033132,0.360865,0.105876,0.048065,
55.948578,50,0.000212,0.127159,1.000000,0.380768,0.002610,0.002912,0.000286,0.005878,0.003223,0.002022,0.006144,0.000517,
58.949432,50,0.001332,0.089714,0.709541,0.264975,0.002708,0.011680,0.003503,0.693532,0.002940,0.004935,0.027289,0.000624,
60.498634,91,0.281113,0.133258,0.817456,0.318324,0.062060,0.256258,0.360260,0.058365,0.051872,0.237108,0.022089,0.029541,
65.548462,50,0.000189,0.111437,1.000000,0.435585,0.003696,0.000000,0.000031,0.000056,0.000026,0.000004,0.000024,0.000167,
68.648277,50,0.354362,0.264466,0.352278,0.428341,0.360758,0.297736,0.433632,0.727444,0.518488,0.283698,0.391538,0.404632,
68.648277,50,0.354362,0.264466,0.352278,0.428341,0.360758,0.297736,0.433632,0.727444,0.518488,0.283698,0.391538,0.404632,
