time,pitch,C,C#,D,D#,E,F,F#,G,G#,A,A#,B
2.747934,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7.048669,49,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9.500957,33,0.000000,0.000000,0.000000,0.000000,0.107617,0.000000,0.000000,0.000000,0.000000,0.699509,0.000000,0.000000
10.800728,46,0.000000,0.062499,0.312496,0.000000,0.249997,0.249997,0.000000,1.624979,0.000000,1.624979,1.624979,0.062499
12.648230,47,0.000000,0.000000,0.312500,0.062500,0.000000,0.250000,0.250000,1.625000,0.000000,0.000000,1.625000,1.625000
16.148710,44,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
18.848827,37,0.343152,0.343152,0.000000,0.000000,0.000000,0.000000,0.000000,0.057192,0.057192,0.000000,0.000000,0.000000
20.498888,43,0.000000,1.625001,0.250000,0.000000,0.000000,0.062500,0.000000,1.625001,0.250000,0.000000,0.000000,0.062500
21.298607,54,0.000000,0.558646,0.051473,0.000000,0.000000,0.000000,1.623763,0.308837,0.051473,0.000000,0.062452,0.000000
22.998260,54,0.000000,1.749999,0.000000,0.000000,0.000000,0.062500,1.625000,0.000000,0.250000,0.000000,0.062500,0.000000
24.647858,40,0.000000,0.000000,1.625001,0.000000,1.625001,0.000000,0.062500,0.000000,0.062500,0.250000,0.000000,0.250000
25.947994,54,0.000000,0.249997,0.071790,0.000000,1.625000,0.000000,1.624979,0.000000,0.062500,0.000000,0.062499,0.250000
27.499018,43,0.000000,0.000000,0.250000,1.625003,0.000000,0.000000,0.000000,1.625003,0.000000,0.000000,0.250000,0.062500
28.199591,43,0.000000,0.000000,0.063547,1.625000,0.000000,0.000000,0.000000,0.381280,0.000000,0.000000,0.250000,0.000000
33.198120,32,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
34.748562,45,0.250000,0.062500,0.000000,1.625003,0.250000,1.625003,0.000000,0.062500,0.000000,1.625003,0.250000,0.000000
36.297878,45,0.000000,1.687503,0.000000,0.000000,0.250000,0.062500,0.000000,0.000000,0.250000,1.625000,0.000000,0.000000
37.397739,39,0.000000,1.625000,0.000000,1.624891,0.000000,0.062500,0.000000,0.062496,0.250000,0.164128,0.249983,0.000000
39.098686,57,0.000000,0.312500,0.250000,0.000000,0.250000,0.000000,1.625001,1.625001,0.000000,1.625001,0.062500,0.062500
44.298996,33,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
45.897984,57,0.062500,0.062500,0.062500,0.250000,1.750001,0.250000,0.000000,0.000000,1.625001,1.625001,1.625001,0.250000
46.547951,43,0.250642,0.000000,0.250642,0.070607,0.494252,1.629175,0.000000,1.629175,0.423644,0.423644,0.423644,0.070607
47.250435,42,1.876854,0.250285,0.057094,0.000000,0.062571,1.624990,1.626855,0.364474,0.058150,0.120649,0.120721,0.000000
48.247868,41,0.452731,0.000000,0.000000,1.624756,0.000000,1.625000,0.202731,0.062491,0.000000,0.062500,0.249962,0.000000
49.748070,41,0.250000,0.062500,0.000000,1.625000,0.250000,1.625000,0.000000,0.062500,0.000000,1.687503,0.250000,0.000000
55.948578,38,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
58.949432,38,0.202628,0.000000,0.337713,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
