all_features
File Name;Lowest MIDI;Lowest Note;Highest MIDI;Highest Note;Note Difference;Average MIDI Pitch;Average Note Pitch;Pitch Std Dev;Lowest Velocity;Highest Velocity;Velocity Range;Average Velocity;Velocity Std Dev;Pitch Entropy;Intensity Entropy;Duration Entropy;Note Density;Average Note Distance;Note Time Std Dev;Average Duration;Corpus;Output
impro05-01-audioinfluencer.mid;52;E3;77;F5;25;62.75555555555555;D#4;5.974017817925294;32;96;64;73.2;13.200550952689264;3.6969442089259648;4.597082818407666;5.119522262948262;1.3931942461077635;0.7340880681818182;0.43455067838555955;0.717775;RO;PT
impro05-02-audioinfluencer.mid;53;F3;80;G#5;27;64.52439024390245;F4;6.65039794549799;8;86;78;58.48780487804878;15.733305008165827;4.2462299282525295;5.2003098949890445;5.875725480175072;1.450074851272277;0.6981333950617284;0.6650848870404852;0.6896195731707317;RO;PT
impro05-03-audioinfluencer.mid;52;E3;92;G#6;40;68.01449275362319;G#4;7.474452082266216;8;89;81;67.18840579710145;13.944506996029613;4.142034014617991;4.9195519927592155;5.276871152644048;1.550452987310576;0.6544576911764706;0.6098396587487019;0.6449727971014493;RV;PT
impro05-04-audioinfluencer.mid;44;G#2;73;C#5;29;59.04761904761905;B3;8.332657422665491;5;77;72;57.20634920634921;11.606670398829108;4.049884336750384;4.6250029488981586;5.393869010767164;1.1527996819883137;0.8814445806451614;0.6661282626260391;0.8674533968253969;O;DK
impro05-05-audioinfluencer.mid;56;G#3;79;G5;23;66.34722222222223;F#4;6.030812250487157;16;62;46;42.69444444444444;11.219498732104167;3.6162539072229465;4.713424703655948;5.84340034860444;1.2413858383220808;0.8168971126760562;0.5704587202937254;0.8055513194444444;RO;DK
impro05-06-audioinfluencer.mid;44;G#2;68;G#4;24;50.325301204819276;D3;8.286204276422847;46;76;30;60.27710843373494;5.723961729287036;2.56027160294513;4.262602686670361;6.058597714401263;1.3206053916054015;0.7664629634146342;0.9256460043670243;0.7572284698795181;RV;DK
impro05-07-audioinfluencer.mid;55;G3;77;F5;22;65.77710843373494;F#4;5.420920760461378;7;93;86;70.52409638554217;12.677683474098941;3.828873038038854;5.086481149187627;6.101700522507801;2.8645183756696784;0.35121457575757575;0.29120507543521884;0.3490988253012048;RO;PT
impro05-08-audioinfluencer.mid;56;G#3;79;G5;23;70.8048780487805;B4;3.79617908030642;13;72;59;58.609756097560975;11.644479483387155;3.040002004407014;4.287447053863761;5.1624300533985705;0.7915083279996612;1.2949958499999998;0.8523893883063646;1.2634105853658535;O;PT
impro05-09-audioinfluencer.mid;56;G#3;82;A#5;26;69.43037974683544;A4;5.457724575887942;20;64;44;48.55696202531646;10.617772758196198;4.064212674106366;4.924440407534976;5.707332450977563;1.5690235817292963;0.6455100641025641;0.5301592725229216;0.6373390506329114;O;PT
impro05-10-audioinfluencer.mid;56;G#3;72;C5;16;66.078125;F#4;3.306101562215314;1;49;48;22.90625;9.0601495309851;3.1330308099617423;4.396168704467279;5.421569531114784;1.093076917072883;0.9293701111111111;0.6640587805113406;0.914848703125;O;DK
impro05-11-audioinfluencer.mid;55;G3;73;C#5;18;64.86666666666666;F4;4.6102652260521255;20;87;67;56.62222222222222;18.43328127561283;3.8800903182634348;4.6583025406779655;5.091853096329676;0.760779844649432;1.3443143636363635;0.36407546283755443;1.314440711111111;O;PT
impro05-12-audioinfluencer.mid;54;F#3;76;E5;22;66.25833333333334;F#4;4.735873879291996;2;99;97;74.16666666666667;15.988616398604874;3.9391231939972653;5.245573250965874;5.848959683937264;2.0725312357659202;0.4865564117647059;0.32439719793894034;0.482501775;RV;DK
impro05-13-audioinfluencer.mid;56;G#3;76;E5;20;66.26984126984127;F#4;3.9603125862550264;13;86;73;65.9047619047619;13.071409684960292;3.5937747047039554;4.8830625112848765;5.572362859939172;1.0994624326775593;0.9242053225806451;0.5362967547122944;0.9095353968253969;RO;DK
impro05-14-audioinfluencer.mid;53;F3;79;G5;26;65.9342105263158;F#4;5.167424958502483;20;96;76;73.86842105263158;13.99746844279413;3.575160892649644;5.006628876237833;5.790626362099334;1.3024709192947717;0.7780084133333334;0.5265837721056952;0.7677714605263158;RV;DK
impro05-15-audioinfluencer.mid;56;G#3;86;D6;30;71.1875;B4;6.998582622942929;7;57;50;38.921875;10.249745931810537;4.035178031846025;4.589364454101657;5.738204882778696;1.113035657975551;0.9127048253968253;0.7676129460033743;0.8984438124999999;O;DK
impro05-16-audioinfluencer.mid;55;G3;81;A5;26;69.68493150684931;A#4;4.90146438528768;14;88;74;70.35616438356165;11.915640821828466;3.920187444956589;4.82976685319311;5.4087348327340745;1.300101527243512;0.7798536249999999;0.5789696654865184;0.7691706986301369;RV;PT
impro05-17-audioinfluencer.mid;55;G3;97;C#7;42;67.1744966442953;G4;5.544331831193057;3;87;84;66.4496644295302;14.887159459699607;4.065249091267669;5.300372045036369;5.875349649055666;3.0161934161356023;0.3337838851351352;0.3286536652718067;0.3315437248322148;RV;PT
impro05-18-audioinfluencer.mid;57;A3;81;A5;24;70.34615384615384;A#4;6.144931325529612;3;86;83;60.48076923076923;19.265422021621834;4.008320855024926;5.085055102756478;5.661978179679557;0.8919319625379656;1.1431453137254903;0.6020591475842086;1.1211617500000002;RO;DK
