ambitus
File Name;Lowest Note;Lowest MIDI;Highest Note;Highest MIDI;Ambitus (Note Difference);Corpus;Output
impro02-01-audioinfluencer.csv;G#2;44;G5;79;35;RV;DK
impro02-02-audioinfluencer.csv;F#3;54;B4;71;17;RO;PT
impro02-03-audioinfluencer.csv;D#3;51;F#4;66;15;RO;PT
impro02-04-audioinfluencer.csv;B2;47;D6;86;39;RV;DK
impro02-05-audioinfluencer.csv;A2;45;E5;76;31;RV;PT
impro02-06-audioinfluencer.csv;C3;48;D#4;63;15;O;PT
impro02-07-audioinfluencer.csv;F3;53;G4;67;14;O;DK
impro02-08-audioinfluencer.csv;D#3;51;C5;72;21;RO;DK
impro02-09-audioinfluencer.csv;C3;48;G4;67;19;O;PT
impro02-10-audioinfluencer.csv;G3;55;D5;74;19;O;PT
impro02-11-audioinfluencer.csv;G#2;44;D4;62;18;RO;DK
impro02-12-audioinfluencer.csv;E3;52;C5;72;20;RV;DK
impro02-13-audioinfluencer.csv;A#2;46;E4;64;18;O;DK
impro02-14-audioinfluencer.csv;C#3;49;D#5;75;26;RO;DK
impro02-15-audioinfluencer.csv;D3;50;D#4;63;13;O;DK
impro02-16-audioinfluencer.csv;A2;45;E5;76;31;RV;PT
impro02-17-audioinfluencer.csv;C4;60;D#5;75;15;RO;PT
impro02-18-audioinfluencer.csv;G3;55;G4;67;12;RV;PT
