average_pitches
File Name;Average Pitch (Note);Average Pitch (MIDI);Corpus;Output
impro02-01-audioinfluencer.csv;D4;62;RV;DK
impro02-02-audioinfluencer.csv;D4;62;RO;PT
impro02-03-audioinfluencer.csv;A#3;58;RO;PT
impro02-04-audioinfluencer.csv;F#4;66;RV;DK
impro02-05-audioinfluencer.csv;C4;60;RV;PT
impro02-06-audioinfluencer.csv;G#3;56;O;PT
impro02-07-audioinfluencer.csv;C4;60;O;DK
impro02-08-audioinfluencer.csv;D4;62;RO;DK
impro02-09-audioinfluencer.csv;A#3;58;O;PT
impro02-10-audioinfluencer.csv;E4;64;O;PT
impro02-11-audioinfluencer.csv;F3;53;RO;DK
impro02-12-audioinfluencer.csv;D4;62;RV;DK
impro02-13-audioinfluencer.csv;G3;55;O;DK
impro02-14-audioinfluencer.csv;D4;62;RO;DK
impro02-15-audioinfluencer.csv;G#3;56;O;DK
impro02-16-audioinfluencer.csv;C4;60;RV;PT
impro02-17-audioinfluencer.csv;G#4;68;RO;PT
impro02-18-audioinfluencer.csv;C#4;61;RV;PT
