File Name,Average Pitch (Note),Average Pitch (MIDI)
impro06-01-audioinfluencer.csv,G#4,68
impro06-02-audioinfluencer.csv,F#4,66
impro06-03-audioinfluencer.csv,A#4,70
impro06-04-audioinfluencer.csv,A#4,70
impro06-05-audioinfluencer.csv,C4,60
impro06-06-audioinfluencer.csv,G#4,68
impro06-07-audioinfluencer.csv,A#4,70
impro06-08-audioinfluencer.csv,A4,69
impro06-09-audioinfluencer.csv,G#3,56
impro06-10-audioinfluencer.csv,G#4,68
impro06-11-audioinfluencer.csv,G#4,68
impro06-12-audioinfluencer.csv,G#3,56
impro06-13-audioinfluencer.csv,B4,71
impro06-14-audioinfluencer.csv,G#3,56
impro06-15-audioinfluencer.csv,G#4,68
impro06-16-audioinfluencer.csv,A#4,70
impro06-17-audioinfluencer.csv,D#4,63
impro06-18-audioinfluencer.csv,G#4,68
