MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,1
45,2
46,4
47,6
48,7
49,14
50,16
51,17
52,17
53,17
54,18
55,18
56,18
57,18
58,18
59,18
60,18
61,18
62,18
63,18
64,18
65,18
66,18
67,17
68,16
69,15
70,15
71,14
72,14
73,14
74,14
75,14
76,14
77,14
78,13
79,13
80,13
81,13
82,13
83,12
84,12
85,12
86,11
87,10
88,7
89,4
90,3
91,2
92,2
93,2
94,1
95,1
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
