Velocity,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,0
19,1
20,0
21,0
22,1
23,1
24,0
25,1
26,0
27,2
28,1
29,0
30,1
31,0
32,1
33,0
34,0
35,1
36,0
37,0
38,2
39,1
40,2
41,0
42,2
43,1
44,3
45,0
46,0
47,0
48,2
49,1
50,1
51,3
52,1
53,1
54,3
55,2
56,1
57,0
58,1
59,1
60,1
61,0
62,2
63,3
64,4
65,2
66,2
67,1
68,2
69,0
70,1
71,1
72,1
73,0
74,1
75,2
76,1
77,2
78,1
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,0
126,0
127,0
