Duration (s),Frequency
2.559895833333334,1
1.0453124999999996,1
0.02656250000000071,12
0.0692708333333325,1
0.9015625000000007,1
0.03177083333333286,24
0.02708333333333357,7
0.036979166666666785,2
0.04270833333333357,14
0.5171875000000004,1
0.07499999999999929,2
0.032291666666667496,1
0.3307291666666661,1
0.3890625000000014,1
0.05364583333333428,17
0.04791666666666572,29
0.05885416666666643,8
0.03750000000000142,17
0.11197916666666785,7
0.09583333333333499,4
0.06406249999999858,23
0.4906250000000014,2
0.05833333333333357,2
0.03229166666666572,19
0.1171875,2
0.10104166666666714,5
0.10677083333333215,2
0.09062499999999929,7
0.07447916666666643,13
0.06927083333333428,16
0.08020833333333499,6
0.08489583333333428,6
0.11250000000000071,2
0.138541666666665,3
1.3598958333333329,1
1.34375,1
0.06979166666666714,5
0.5437499999999993,1
0.5708333333333329,1
0.23489583333333286,1
0.29322916666666643,1
0.2880208333333343,1
0.05312500000000142,15
0.22395833333333215,1
0.03697916666666501,2
0.7093750000000014,1
0.2666666666666657,3
0.20260416666666714,2
0.04843749999999858,5
0.8531249999999986,1
0.34114583333333215,1
0.2609375000000007,1
0.15468750000000142,4
0.416145833333335,1
0.18645833333333428,2
0.08541666666666714,8
0.06354166666666572,4
0.15989583333333357,1
0.1437500000000007,1
0.1281250000000007,1
0.16562499999999858,3
0.02135416666666856,2
0.09583333333333144,5
0.19739583333333144,2
0.05885416666666998,9
0.17604166666666998,1
0.04270833333333002,25
0.026562499999997158,17
0.04218749999999716,3
0.3359375,1
0.5921875000000014,1
0.05833333333333002,5
0.18697916666666714,1
0.26145833333333,1
0.12812499999999716,6
4.741145833333334,1
0.4427083333333357,1
0.8213541666666657,1
1.3703124999999972,1
0.19218750000000284,1
0.09062500000000284,11
0.24010416666666856,1
0.20781250000000284,1
0.027083333333330017,9
0.17083333333333428,1
0.41041666666667,1
0.1223958333333357,2
0.07500000000000284,4
0.61302083333333,1
0.07447916666666998,15
0.29322916666667,1
0.03697916666666856,3
0.91770833333333,1
0.2135416666666643,2
0.1067708333333357,4
0.2510416666666657,1
0.1119791666666643,6
0.1015625,1
0.30937500000000284,1
0.2723958333333343,1
0.5812499999999972,1
0.08020833333333144,4
0.13854166666666856,3
0.16510416666666572,2
0.2239583333333357,2
0.07968749999999858,1
0.12291666666666856,1
0.25052083333333286,1
0.5229166666666671,1
0.17031250000000142,1
0.13906250000000142,1
1.0880208333333314,1
0.10625000000000284,2
1.5838541666666686,2
0.0963541666666643,2
0.026562500000004263,2
0.2932291666666629,1
