File Name,Note Distribution (per second)
impro10-01-audioinfluencer.csv,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 1, 9: 3, 10: 0, 11: 0, 12: 1, 13: 0, 14: 2, 15: 2, 16: 0, 17: 0, 18: 0, 19: 1, 20: 1, 21: 0, 22: 0, 23: 0, 24: 0, 25: 0, 26: 0, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0, 32: 1, 33: 0, 34: 4, 35: 3, 36: 2, 37: 1, 38: 0, 39: 2, 40: 0, 41: 0, 42: 1}"
impro10-02-audioinfluencer.csv,"{1: 1, 2: 2, 3: 5, 4: 4, 5: 3, 6: 1, 7: 4, 8: 4, 9: 3, 10: 1, 11: 2, 12: 3, 13: 4, 14: 4, 15: 4, 16: 4, 17: 3, 18: 1, 19: 3, 20: 3, 21: 3, 22: 2, 23: 1, 24: 2, 25: 2, 26: 1, 27: 0, 28: 0, 29: 0, 30: 0, 31: 0, 32: 0, 33: 0, 34: 0, 35: 0, 36: 2}"
impro10-03-audioinfluencer.csv,"{1: 1, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 0, 14: 1, 15: 0, 16: 0, 17: 0, 18: 1, 19: 1, 20: 0, 21: 1, 22: 1, 23: 0, 24: 0, 25: 0, 26: 1, 27: 0, 28: 0, 29: 0, 30: 0, 31: 1, 32: 0, 33: 0, 34: 0, 35: 0, 36: 2, 37: 2, 38: 2, 39: 1, 40: 1, 41: 1, 42: 1, 43: 2, 44: 1, 45: 0, 46: 0, 47: 0, 48: 0, 49: 1, 50: 1, 51: 1, 52: 1, 53: 1, 54: 1, 55: 1}"
impro10-04-audioinfluencer.csv,"{2: 2, 3: 2, 4: 1, 5: 2, 6: 2, 7: 2, 8: 1, 9: 2, 10: 2, 11: 2, 12: 2, 13: 1, 14: 2, 15: 2, 16: 2, 17: 2, 18: 1, 19: 2, 20: 2, 21: 2, 22: 1, 23: 2, 24: 1, 25: 2, 26: 1, 27: 2, 28: 1, 29: 2, 30: 1, 31: 2, 32: 2, 33: 2, 34: 1, 35: 2, 36: 1, 37: 0, 38: 2}"
impro10-05-audioinfluencer.csv,"{5: 2, 6: 0, 7: 0, 8: 2, 9: 0, 10: 0, 11: 1, 12: 1, 13: 0, 14: 1, 15: 1, 16: 0, 17: 0, 18: 0, 19: 0, 20: 1, 21: 1, 22: 0, 23: 1, 24: 0, 25: 2, 26: 1, 27: 1, 28: 0, 29: 1, 30: 1, 31: 1, 32: 1, 33: 0, 34: 2, 35: 0, 36: 0, 37: 1, 38: 1, 39: 0, 40: 1, 41: 1, 42: 2, 43: 2, 44: 1, 45: 1, 46: 1, 47: 1, 48: 0, 49: 1, 50: 0, 51: 1, 52: 0, 53: 1}"
impro10-06-audioinfluencer.csv,"{1: 1, 2: 1, 3: 2, 4: 1, 5: 2, 6: 1, 7: 2, 8: 2, 9: 1, 10: 2, 11: 1, 12: 2, 13: 1, 14: 2, 15: 1, 16: 1, 17: 2, 18: 1, 19: 2, 20: 2, 21: 1, 22: 2, 23: 1, 24: 2, 25: 2, 26: 1, 27: 2, 28: 2, 29: 1, 30: 2, 31: 1, 32: 2, 33: 1, 34: 1}"
impro10-07-audioinfluencer.csv,"{2: 1, 3: 0, 4: 0, 5: 0, 6: 1, 7: 0, 8: 0, 9: 1, 10: 1, 11: 1, 12: 1, 13: 0, 14: 1, 15: 1, 16: 0, 17: 1, 18: 1, 19: 1, 20: 1, 21: 0, 22: 0, 23: 0, 24: 1, 25: 1, 26: 0, 27: 2, 28: 0, 29: 1, 30: 0, 31: 1, 32: 1, 33: 1}"
impro10-08-audioinfluencer.csv,"{2: 1, 3: 1, 4: 3, 5: 4, 6: 4, 7: 3, 8: 4, 9: 5, 10: 4, 11: 4, 12: 5, 13: 3, 14: 2, 15: 5, 16: 4, 17: 3, 18: 3, 19: 5, 20: 4, 21: 4, 22: 3, 23: 4, 24: 3, 25: 2, 26: 1, 27: 1, 28: 2, 29: 3, 30: 3, 31: 2, 32: 2, 33: 0, 34: 1, 35: 4, 36: 1, 37: 1, 38: 2, 39: 2, 40: 3, 41: 4, 42: 3, 43: 2, 44: 5, 45: 4}"
impro10-09-audioinfluencer.csv,"{2: 1, 3: 0, 4: 0, 5: 0, 6: 0, 7: 1, 8: 0, 9: 0, 10: 0, 11: 1, 12: 0, 13: 0, 14: 0, 15: 0, 16: 1, 17: 0, 18: 0, 19: 1, 20: 1, 21: 0, 22: 1, 23: 1, 24: 0, 25: 0, 26: 0, 27: 1, 28: 0, 29: 1, 30: 0, 31: 1, 32: 0, 33: 0, 34: 2, 35: 0, 36: 1, 37: 1, 38: 0, 39: 1, 40: 1, 41: 1, 42: 1, 43: 1, 44: 1, 45: 0, 46: 1, 47: 1, 48: 2, 49: 0, 50: 1, 51: 0, 52: 1, 53: 1, 54: 1, 55: 0, 56: 0, 57: 1, 58: 1, 59: 1, 60: 1, 61: 1}"
impro10-10-audioinfluencer.csv,"{2: 1, 3: 2, 4: 1, 5: 2, 6: 1, 7: 1, 8: 0, 9: 1, 10: 1, 11: 2, 12: 2, 13: 0, 14: 1, 15: 1, 16: 1, 17: 1, 18: 1, 19: 2, 20: 1, 21: 0, 22: 2, 23: 2, 24: 1, 25: 1, 26: 0, 27: 0, 28: 1, 29: 1, 30: 1, 31: 1, 32: 0, 33: 0, 34: 1, 35: 0, 36: 1, 37: 1, 38: 1, 39: 2, 40: 1}"
