MIDI Value,Occurrences
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,3
37,4
38,4
39,4
40,4
41,4
42,4
43,5
44,5
45,5
46,8
47,8
48,9
49,11
50,11
51,12
52,13
53,14
54,15
55,15
56,15
57,16
58,16
59,16
60,17
61,17
62,18
63,18
64,18
65,18
66,18
67,18
68,18
69,18
70,17
71,17
72,16
73,16
74,16
75,15
76,15
77,15
78,15
79,15
80,13
81,12
82,10
83,9
84,6
85,6
86,6
87,4
88,4
89,2
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,0
108,0
