File Name,Lowest Velocity,Highest Velocity,Velocity Range
impro01-01-audioinfluencer.mid,23,67,44
impro01-02-audioinfluencer.mid,16,81,65
impro01-03-audioinfluencer.mid,4,88,84
impro01-04-audioinfluencer.mid,3,74,71
impro01-05-audioinfluencer.mid,2,85,83
impro01-06-audioinfluencer.mid,4,90,86
impro01-07-audioinfluencer.mid,2,84,82
impro01-08-audioinfluencer.mid,1,98,97
impro01-09-audioinfluencer.mid,1,44,43
impro01-10-audioinfluencer.mid,1,64,63
impro01-11-audioinfluencer.mid,2,66,64
impro01-12-audioinfluencer.mid,3,73,70
impro01-13-audioinfluencer.mid,12,116,104
impro01-14-audioinfluencer.mid,11,99,88
impro01-15-audioinfluencer.mid,16,94,78
impro01-16-audioinfluencer.mid,1,59,58
impro01-17-audioinfluencer.mid,9,48,39
impro01-18-audioinfluencer.mid,53,88,35
