ambitus
File Name;Lowest Note;Lowest MIDI;Highest Note;Highest MIDI;Ambitus (Note Difference);Corpus;Output
impro04-01-audioinfluencer.csv;C#3;49;E5;76;27;RV;DK
impro04-02-audioinfluencer.csv;E3;52;A4;69;17;RV;PT
impro04-03-audioinfluencer.csv;A#2;46;A#4;70;24;RO;DK
impro04-04-audioinfluencer.csv;G#2;44;A5;81;37;RO;DK
impro04-05-audioinfluencer.csv;A2;45;D#5;75;30;O;PT
impro04-06-audioinfluencer.csv;D#3;51;F#5;78;27;RO;PT
impro04-07-audioinfluencer.csv;C#3;49;C#5;73;24;RO;PT
impro04-08-audioinfluencer.csv;G#2;44;B4;71;27;RV;DK
impro04-09-audioinfluencer.csv;G#2;44;D#5;75;31;RV;PT
impro04-10-audioinfluencer.csv;G#2;44;E5;76;32;O;DK
impro04-11-audioinfluencer.csv;G3;55;E5;76;21;RO;DK
impro04-12-audioinfluencer.csv;G#3;56;C#6;85;29;O;PT
impro04-13-audioinfluencer.csv;G#2;44;E5;76;32;O;DK
impro04-14-audioinfluencer.csv;G#2;44;C6;84;40;O;PT
impro04-15-audioinfluencer.csv;G#2;44;B3;59;15;RO;PT
impro04-16-audioinfluencer.csv;D#3;51;D#4;63;12;RV;PT
impro04-17-audioinfluencer.csv;B3;59;D5;74;15;O;DK
impro04-18-audioinfluencer.csv;B2;47;G#4;68;21;RV;DK
