average_pitches
File Name;Average Pitch (Note);Average Pitch (MIDI);Corpus;Output
impro04-01-audioinfluencer.csv;D4;62;RV;DK
impro04-02-audioinfluencer.csv;C4;60;RV;PT
impro04-03-audioinfluencer.csv;A#3;58;RO;DK
impro04-04-audioinfluencer.csv;D4;62;RO;DK
impro04-05-audioinfluencer.csv;C4;60;O;PT
impro04-06-audioinfluencer.csv;E4;64;RO;PT
impro04-07-audioinfluencer.csv;C#4;61;RO;PT
impro04-08-audioinfluencer.csv;A#3;58;RV;DK
impro04-09-audioinfluencer.csv;C4;60;RV;PT
impro04-10-audioinfluencer.csv;C4;60;O;DK
impro04-11-audioinfluencer.csv;F#4;66;RO;DK
impro04-12-audioinfluencer.csv;A#4;70;O;PT
impro04-13-audioinfluencer.csv;C4;60;O;DK
impro04-14-audioinfluencer.csv;E4;64;O;PT
impro04-15-audioinfluencer.csv;E3;52;RO;PT
impro04-16-audioinfluencer.csv;A3;57;RV;PT
impro04-17-audioinfluencer.csv;F#4;66;O;DK
impro04-18-audioinfluencer.csv;A#3;58;RV;DK
