File Name,Lowest Note,Lowest MIDI,Highest Note,Highest MIDI,Ambitus (Note Difference)
impro06-01-audioinfluencer.csv,D3,50,D6,86,36
impro06-02-audioinfluencer.csv,C#3,49,A#5,82,33
impro06-03-audioinfluencer.csv,A#2,46,A6,93,47
impro06-04-audioinfluencer.csv,D#3,51,E6,88,37
impro06-05-audioinfluencer.csv,D3,50,A#4,70,20
impro06-06-audioinfluencer.csv,C#3,49,D#6,87,38
impro06-07-audioinfluencer.csv,C#3,49,F#6,90,41
impro06-08-audioinfluencer.csv,C#3,49,F6,89,40
impro06-09-audioinfluencer.csv,A#2,46,F#4,66,20
impro06-10-audioinfluencer.csv,C#3,49,D#6,87,38
impro06-11-audioinfluencer.csv,C3,48,E6,88,40
impro06-12-audioinfluencer.csv,G#2,44,G4,67,23
impro06-13-audioinfluencer.csv,B2,47,B6,95,48
impro06-14-audioinfluencer.csv,A2,45,G#4,68,23
impro06-15-audioinfluencer.csv,C#3,49,D#6,87,38
impro06-16-audioinfluencer.csv,F#3,54,C#6,85,31
impro06-17-audioinfluencer.csv,C#3,49,F5,77,28
impro06-18-audioinfluencer.csv,B2,47,E6,88,41
