File Name,Average Pitch (Note),Average Pitch (MIDI)
impro09-01-audioinfluencer.csv,C4,60
impro09-02-audioinfluencer.csv,F#3,54
impro09-03-audioinfluencer.csv,A4,69
impro09-04-audioinfluencer.csv,A#3,58
impro09-05-audioinfluencer.csv,A#3,58
impro09-06-audioinfluencer.csv,B2,47
impro09-07-audioinfluencer.csv,D3,50
impro09-08-audioinfluencer.csv,D3,50
impro09-09-audioinfluencer.csv,D3,50
impro09-10-audioinfluencer.csv,F#3,54
impro09-11-audioinfluencer.csv,F#3,54
impro09-12-audioinfluencer.csv,F#3,54
impro09-13-audioinfluencer.csv,E3,52
impro09-14-audioinfluencer.csv,C4,60
impro09-15-audioinfluencer.csv,D#3,51
impro09-16-audioinfluencer.csv,A#3,58
impro09-17-audioinfluencer.csv,G#3,56
impro09-18-audioinfluencer.csv,C4,60
