MIDI Value,File 01,File 02,File 03,File 04,File 05,File 06,File 07,File 08,File 09,File 10,File 11,File 12,File 13,File 14,File 15,File 16,File 17,File 18
21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
31,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
33,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
34,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
35,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
36,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0
37,0,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,0,0
38,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
39,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
40,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,0,0
41,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1
42,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
43,0,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1
44,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
45,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1
46,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
47,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
48,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
49,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
50,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
51,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
52,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
53,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
54,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
55,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
56,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
57,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
58,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
59,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
60,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
61,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
62,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1
63,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
64,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1
65,1,0,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1
66,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1,1
67,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1
68,1,0,1,1,1,0,0,1,0,0,0,1,0,1,0,1,1,1
69,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1
70,1,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,1,1
71,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,1,1
72,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
73,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1
